short,long,edit
Ach pta,Achillea ptarmica,
Aco cal,Acorus calamus,
Aeg pod,Aegopodium podagraria,
Agr can,Agrostis canina,
Agr cap,Agrostis capillaris,
Agr gig,Agrostis gigantea,
Agr sto,Agrostis stolonifera,
Ali pla,Alisma plantago-aquatica,
Alo gen,Alopecurus geniculatus,
Alo pra,Alopecurus pratensis,
Ang syl,Angelica sylvestris,
Ant syl,Anthriscus sylvestris,
Arg ans,Argentina anserina,
Arr ela,Arrhenatherum elatius,
Art vul,Artemisia vulgaris,
Ath fil,Athyrium filix-femina,
Ber ere,Berula erecta,
Bid cer,Bidens cernua,
Bid tri,Bidens tripartita,
But umb,Butomus umbellatus,
Cal can,Calamagrostis canescens,
Cal pal,Caltha palustris,
Cal pla,Callitriche platycarpa,
Cal sep,Calystegia sepium,
Call sp,Callitriche sp.,Callitriche
Car acu,Carex acutiformis,
Car acu,Carex acuta,
Car ama,Cardamine amara,
Car hir,Carex hirta,
Car nig,Carex nigra,
Car pan,Carex paniculata,
Car pra,Cardamine pratensis,
Car rem,Carex remota,
Car rip,Carex riparia,
Car ros,Carex rostrata,
Car syl,Carex sylvatica,
Car ves,Carex vesicaria,
Cat aqu,Catabrosa aquatica,
Cer dem,Ceratophyllum demersum,
Cer fon,Cerastium fontanum,
Chr alt,Chrysosplenium alternifolium,
Chr opp,Chrysosplenium oppositifolium,
Cic vir,Cicuta virosa,
Cir arv,Cirsium arvense,
Cir lut,Circaea lutetiana,
Cir ole,Cirsium oleraceum,
Cir pal,Cirsium palustre,
Com pal,Comarum palustre,
Con arv,Convolvulus arvensis,
Dac glo,Dactylis glomerata,
Des ces,Deschampsia cespitosa,
Dry fil,Dryopteris filix-mas,
Elo can,Elodea canadensis,
Ely rep,Elytrigia repens,
Epi ade,Epilobium adenocaulon,
Epi ang,Epilobium angustifolium,Chamaenerion angustifolium
Epi hir,Epilobium hirsutum,
Epi mon,Epilobium montanum,
Epi obs,Epilobium obscurum,
Epi pal,Epilobium palustre,
Epi par,Epilobium parviflorum,
Epi ros,Epilobium roseum,
Epi tet,Epilobium tetragonum,
Eq pal,Equisetum palustre,
Equ arv,Equisetum arvense,
Equ flu,Equisetum fluviatile,
Eup can,Eupatorium cannabinum,
Fes rub,Festuca rubra,
Fil ulm,Filipendula ulmaria,
Gal apa,Galium aparine,
Gal bif,Galeopsis bifida,
Gal odo,Galium odoratum,
Gal pal,Galium palustre,
Gal spe,Galeopsis speciosa,
Gal tet,Galeopsis tetrahit,
Gal uli,Galium uliginosum,
Ger rob,Geranium robertianum,
Geu riv,Geum rivale,
Geu urb,Geum urbanum,
Gle hed,Glechoma hederacea,
Gly dec,Glyceria declinata,
Gly flu,Glyceria fluitans,
Gly max,Glyceria maxima,
Gly not,Glyceria notata,
Hip vul,Hippuris vulgaris,
Hol lan,Holcus lanatus,
Hol mol,Holcus mollis,
Hyd mor,Hydrocharis morsus-ranae,
Hyd vul,Hydrocotyle vulgaris,
Imp nol,Impatiens noli-tangere,
Iri pse,Iris pseudacorus,
Jun art,Juncus articulatus,
Jun buf,Juncus bufonius,
Jun bul,Juncus bulbosus,
Jun eff,Juncus effusus,
Lam gal,Lamiastrum galeobdolon,
Lat pra,Lathyrus pratensis,
Lem gib,Lemna gibba,
Lem min,Lemna minor,
Lem tri,Lemna trisulca,
Leo aut,Leontodon autumnalis,
Lol per,Lolium perenne,
Lot ped,Lotus pedunculatus,
Lyc eur,Lycopus europaeus,
Lyc flo,Lychnis flos-cuculi,
Lys num,Lysimachia nummularia,
Lys thy,Lysimachia thyrsiflora,
Lys vul,Lysimachia vulgaris,
Men aqu,Mentha aquatica,
Mim gut,Mimulus guttatus,Erythranthe guttata
Mon fon,Montia fontana,
Myo lax,Myosotis laxa ssp. caespitosa,
Myo sco,Myosotis scorpioides,
Myr alt,Myriophyllum alterniflorum,
Myr gal,Myrica gale,
Myr spi,Myriophyllum spicatum,
Myr ver,Myriophyllum verticillatum,
Nas mic,Nasturtium microphyllum,
Nas off,Nasturtium officinale,
Nup lut,Nuphar lutea,
Oen flu,Oenanthe fluviatilis,
Ono spi,Ononis spinosa ssp. maritime,
Per amp,Persicaria amphibia,
Per hyd,Persicaria hydropiper,
Per mac,Persicaria maculosa,
Pet hyb,Petasites hybridus,
Pha aru,Phalaris arundinacea,
Phl pra,Phleum pratense,
Phr aus,Phragmites australis,
Poa pra,Poa pratensis,
Poa tri,Poa trivialis,
Pot alp,Potamogeton alpinus,
Pot ber,Potamogeton berchtoldii,
Pot cri,Potamogeton crispus,
Pot fri,Potamogeton friesii,
Pot gra,Potamogeton gramineus,
Pot luc,Potamogeton lucens,
Pot nat,Potamogeton natans,
Pot pec,Potamogeton pectinatus,
Pot per,Potamogeton perfoliatus,
Pot pra,Potamogeton praelongus,
Pot rep,Potentilla reptans,
Ran acr,Ranunculus acris,
Ran aqu,Ranunculus aquatilis,
Ran bau,Ranunculus baudotii,
Ran cir,Ranunculus circinatus,
Ran pel,Ranunculus peltatus,
Ran rep,Ranunculus repens,
Ran sce,Ranunculus sceleratus,
Ror amp,Rorippa amphibia,
Ror pal,Rorippa palustris,
Rub ida,Rubus idaeus,
Rum ace,Rumex acetosa,
Rum aqu,Rumex aquaticus,
Rum con,Rumex conglomeratus,
Rum cri,Rumex crispus,
Rum hyd,Rumex hydrolapathum,
Rum obt,Rumex obtusifolius,
Rum san,Rumex sanguineus,
Sag sag,Sagittaria sagittifolia,
Sal cin,Salix cinerea,
Sch lac,Schoenoplectus lacustris,
Sci syl,Scirpus sylvaticus,
Scu gal,Scutellaria galericulata,
Sen aqu,Senecio aquaticus,
Siu lat,Sium latifolium,
Sol dul,Solanum dulcamara,
Spa eme,Sparganium emersum,
Spa ere,Sparganium erectum,
Spi pol,Spirodela polyrhiza,
Sta pal,Stachys palustris,
Sta syl,Stachys sylvatica,
Ste als,Stellaria alsine,
Ste gra,Stellaria graminea,
Ste hol,Stellaria holostea,
Ste med,Stellaria media,
Ste nem,Stellaria nemorum,
Ste pal,Stellaria palustris,
Sym upl,Symphytum x uplandicum,
Taraxacum,Taraxacum–slægten,Taraxacum
Tri per,Tripleurospermum perforatum,
Tri rep,Trifolium repens,
Typ ang,Typha angustifolia,
Typ lat,Typha latifolia,
Urt dio,Urtica dioica,
Val sam,Valeriana sambucifolia,Valeriana sambucifolia ssp. sambucifolia
Ver ana,Veronica anagallis-aquatica,
Ver bec,Veronica beccabunga,
Ver cat,Veronica catenata,
Ver mon,Veronica montana,
Ver scu,Veronica scutellata,
Vic cra,Vicia cracca,
Vio pal,Viola palustris,
Zan pal,Zannichellia palustris,
